sim_name,result
60_70-with-60_1,-0.052174
60_70-with-80_20,-0.062075
60_70-with-30_60,-0.051429
60_70-with-30_80,-0.011429
60_70-with-80_60,-0.040825
60_70-with-80_40,-0.016036
60_70-with-80_100,-0.032071
60_70-with-80_50,0.006667
60_70-with-90_70,0.065591
60_70-with-80_80,0.000000
60_70-with-60_50,0.030000
60_70-with-50_40,-0.037482
60_70-with-50_100,0.031235
60_70-with-50_50,-0.061101
60_70-with-50_70,-0.017889
60_70-with-1_50,-0.323958
60_70-with-20_70,-0.049193
60_70-with-30_100,-0.057778
60_70-with-70_10,-0.062262
60_70-with-100_50,-0.012247
60_70-with-40_60,-0.089815
60_70-with-70_80,-0.040000
60_70-with-40_70,-0.035777
60_70-with-90_50,-0.030729
60_70-with-100_70,-0.013416
60_70-with-80_10,-0.062470
60_70-with-10_30,-0.066920
60_70-with-50_80,-0.026667
60_70-with-70_1,-0.025751
60_70-with-40_50,-0.073333
60_70-with-100_100,0.007428
60_70-with-40_100,0.005345
60_70-with-70_40,0.006247
60_70-with-1_20,-0.262803
60_70-with-10_1,-0.069817
60_70-with-70_30,-0.038523
60_70-with-1_30,-0.276711
60_70-with-30_20,-0.053149
60_70-with-10_80,-0.059871
60_70-with-90_80,0.000000
60_70-with-100_20,-0.053666
60_70-with-10_100,-0.072506
60_70-with-10_40,-0.075659
60_70-with-1_80,-0.349565
60_70-with-80_70,-0.026833
60_70-with-40_1,-0.063420
60_70-with-20_40,-0.055709
60_70-with-1_90,-0.306603
60_70-with-1_100,-0.286223
60_70-with-30_10,-0.107654
60_70-with-90_100,-0.031111
60_70-with-70_100,0.000000
60_70-with-20_1,-0.046214
60_70-with-30_1,-0.049531
60_70-with-20_30,-0.030000
60_70-with-20_100,-0.014856
60_70-with-50_30,-0.033708
60_70-with-70_60,-0.106667
60_70-with-50_90,-0.017457
60_70-with-90_90,-0.015364
60_70-with-60_80,0.180000
60_70-with-20_50,-0.028577
60_70-with-1_10,-0.261931
60_70-with-20_90,-0.024495
60_70-with-90_10,-0.072739
60_70-with-1_70,-0.338424
30_50-with-90_60,0.000000
30_50-with-20_20,-0.081210
30_50-with-20_10,-0.178171
30_50-with-50_1,-0.011140
30_50-with-40_30,-0.043644
30_50-with-1_1,-0.244560
30_50-with-20_80,-0.031235
30_50-with-100_60,0.000000
30_50-with-1_40,-0.626707
30_50-with-80_1,0.002690
30_50-with-90_20,0.000000
30_50-with-10_10,-0.130931
30_50-with-50_20,-0.010690
30_50-with-10_90,-0.043644
30_50-with-30_70,0.030000
30_50-with-10_50,-0.134164
30_50-with-40_90,0.014446
30_50-with-70_20,-0.014856
30_50-with-1_60,-0.603279
30_50-with-70_70,0.028577
30_50-with-100_80,0.023862
30_50-with-60_10,-0.053638
30_50-with-90_1,-0.007223
30_50-with-60_30,-0.020486
30_50-with-100_30,-0.022283
30_50-with-30_30,-0.050000
30_50-with-10_60,-0.057155
30_50-with-80_30,0.010106
30_50-with-80_90,0.005819
30_50-with-60_40,0.022857
30_50-with-10_70,-0.040000
30_50-with-50_10,-0.078558
